id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
57906,27,105000,RENT,11.0,DEBTCONSOLIDATION,B,14600,9.91,0.15,N,5,0
19581,26,58900,MORTGAGE,8.0,PERSONAL,A,10000,8.63,0.17,N,3,0
13794,30,48000,RENT,14.0,DEBTCONSOLIDATION,E,19750,15.13,0.4,N,8,1
16328,24,30000,RENT,2.0,DEBTCONSOLIDATION,A,5000,8.94,0.17,N,4,0
3904,22,45000,RENT,3.0,EDUCATION,B,3000,10.99,0.07,N,2,0
9629,21,24000,OWN,5.0,VENTURE,A,8000,7.29,0.33,N,5,0
27844,23,54000,RENT,2.0,DEBTCONSOLIDATION,B,14800,12.69,0.27,N,2,1
11123,31,170000,MORTGAGE,3.0,MEDICAL,A,20000,6.54,0.12,N,5,0
7904,24,92500,MORTGAGE,8.0,MEDICAL,B,17500,11.71,0.19,N,2,0
17790,22,67000,MORTGAGE,6.0,MEDICAL,A,4000,5.42,0.06,N,2,0
43286,26,85000,RENT,2.0,EDUCATION,A,24000,7.9,0.28,N,3,0
39219,22,40000,RENT,3.0,MEDICAL,A,6400,8.9,0.16,N,3,0
11386,32,103000,RENT,15.0,PERSONAL,D,16000,16.29,0.14,Y,8,0
52890,27,70000,RENT,4.0,DEBTCONSOLIDATION,A,16000,7.51,0.23,N,10,0
12008,21,50000,RENT,2.0,DEBTCONSOLIDATION,A,3000,7.51,0.06,N,4,0
36342,28,74000,MORTGAGE,12.0,VENTURE,A,1000,9.63,0.01,N,5,0
48053,25,39996,RENT,2.0,EDUCATION,A,10000,7.51,0.25,N,3,0
8562,27,70000,OWN,0.0,VENTURE,A,12000,7.49,0.17,N,5,0
37277,30,44000,RENT,7.0,MEDICAL,C,7500,12.61,0.18,Y,7,0
17942,22,57600,RENT,2.0,VENTURE,E,6000,15.95,0.1,N,2,1
11114,26,69600,OWN,11.0,VENTURE,A,6000,7.9,0.09,N,2,0
57776,29,110000,RENT,3.0,EDUCATION,A,9000,7.49,0.08,N,5,0
31955,37,51000,MORTGAGE,3.0,VENTURE,A,7000,6.99,0.14,N,15,0
46573,30,75000,MORTGAGE,14.0,DEBTCONSOLIDATION,C,10000,13.49,0.13,N,8,0
51528,24,75000,RENT,1.0,DEBTCONSOLIDATION,B,10000,12.69,0.13,N,2,0
53311,23,60000,MORTGAGE,7.0,EDUCATION,A,4500,5.42,0.07,N,3,0
42176,35,70000,RENT,0.0,EDUCATION,A,2000,8.59,0.03,N,9,0
5186,27,60000,RENT,5.0,DEBTCONSOLIDATION,B,5000,12.69,0.08,N,6,0
33491,22,56500,RENT,1.0,EDUCATION,B,10000,10.75,0.18,N,3,0
45967,25,120000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,20000,6.54,0.17,N,2,0
51300,31,30000,RENT,5.0,VENTURE,D,8000,15.33,0.27,N,9,0
57483,25,26000,OWN,4.0,HOMEIMPROVEMENT,C,6000,15.27,0.23,Y,2,0
46970,29,62500,RENT,1.0,MEDICAL,B,15000,10.0,0.24,N,9,0
20322,21,45200,RENT,1.0,DEBTCONSOLIDATION,A,5000,8.59,0.11,N,3,0
5529,32,80000,MORTGAGE,5.0,PERSONAL,B,25000,10.36,0.31,N,7,0
4316,28,160000,RENT,12.0,VENTURE,D,12000,16.77,0.07,N,6,0
22221,24,40000,RENT,5.0,VENTURE,B,8000,9.88,0.2,N,2,0
20729,37,105000,RENT,5.0,PERSONAL,B,4800,10.37,0.05,N,17,0
37300,23,38400,RENT,3.0,VENTURE,A,13000,8.49,0.35,N,3,1
57657,30,170000,MORTGAGE,12.0,EDUCATION,A,12000,7.88,0.07,N,9,0
22146,49,90000,RENT,5.0,EDUCATION,A,15000,7.9,0.17,N,15,0
12228,24,130000,MORTGAGE,8.0,PERSONAL,A,4000,6.76,0.03,N,2,0
7331,23,72000,MORTGAGE,7.0,EDUCATION,A,9000,7.49,0.13,N,2,0
12917,25,63000,RENT,4.0,DEBTCONSOLIDATION,B,1200,10.74,0.02,N,2,0
4654,32,50000,MORTGAGE,5.0,PERSONAL,B,10000,10.99,0.2,N,9,0
49958,28,31000,MORTGAGE,2.0,DEBTCONSOLIDATION,D,9750,16.89,0.32,N,10,1
33497,21,28000,RENT,0.0,MEDICAL,C,4000,13.48,0.14,N,3,0
21121,22,60000,MORTGAGE,6.0,EDUCATION,A,4125,6.17,0.07,N,4,0
21805,26,59196,MORTGAGE,10.0,DEBTCONSOLIDATION,B,17500,10.0,0.29,N,3,0
47607,30,110000,MORTGAGE,0.0,EDUCATION,A,18500,7.49,0.17,N,8,0
55585,31,100000,RENT,4.0,EDUCATION,C,3000,15.23,0.03,Y,10,0
50474,21,35400,RENT,0.0,PERSONAL,A,5000,6.03,0.14,N,3,0
20289,24,39000,RENT,0.0,MEDICAL,D,15000,16.0,0.41,N,4,1
28975,31,35100,MORTGAGE,3.0,EDUCATION,C,1000,13.48,0.03,Y,6,0
10726,22,70000,RENT,6.0,EDUCATION,A,5000,7.88,0.07,N,4,0
48479,26,95000,MORTGAGE,0.0,PERSONAL,A,2400,5.42,0.03,N,3,0
19327,23,75000,RENT,5.0,MEDICAL,B,10000,11.49,0.13,N,2,0
22503,22,96000,OWN,6.0,VENTURE,B,5000,9.91,0.05,N,3,0
5160,27,35000,RENT,0.0,VENTURE,B,4000,9.99,0.11,N,8,0
16825,32,55000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,9600,7.49,0.17,N,10,0
13223,28,91800,MORTGAGE,7.0,HOMEIMPROVEMENT,C,15000,12.98,0.14,N,5,0
55852,23,48600,RENT,3.0,MEDICAL,D,4800,12.61,0.1,N,4,1
34872,22,48000,MORTGAGE,6.0,VENTURE,A,3000,5.42,0.06,N,3,0
49599,23,60000,RENT,2.0,PERSONAL,C,7000,12.87,0.12,N,4,1
33687,22,48000,RENT,3.0,MEDICAL,C,7500,13.79,0.16,N,3,0
56999,23,80000,RENT,6.0,PERSONAL,C,10000,13.57,0.13,Y,4,0
17439,25,62400,RENT,3.0,VENTURE,C,5000,12.87,0.08,N,4,0
19258,23,121000,MORTGAGE,7.0,EDUCATION,B,8000,10.99,0.07,N,2,0
25188,25,121000,MORTGAGE,3.0,VENTURE,A,2000,8.9,0.02,N,4,0
56863,23,37008,RENT,4.0,EDUCATION,C,10000,14.22,0.27,N,4,0
41837,24,72000,OWN,8.0,EDUCATION,A,6000,7.14,0.08,N,3,0
31270,26,38000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,3000,11.86,0.08,N,2,0
34438,29,50000,MORTGAGE,5.0,PERSONAL,C,15000,12.73,0.3,Y,8,0
46369,26,90000,RENT,6.0,VENTURE,B,20000,11.48,0.22,N,3,0
53915,21,27000,RENT,2.0,VENTURE,B,5000,12.69,0.19,N,2,0
24250,29,87000,RENT,2.0,EDUCATION,B,20000,11.36,0.23,N,9,0
3669,24,75000,RENT,5.0,EDUCATION,A,12000,8.9,0.16,N,3,0
30110,25,35280,RENT,3.0,DEBTCONSOLIDATION,C,10375,14.27,0.29,Y,5,0
46426,24,30000,RENT,2.0,VENTURE,D,5600,14.96,0.19,Y,2,1
58551,21,49000,RENT,5.0,VENTURE,A,4800,7.29,0.1,N,3,0
55064,24,80000,MORTGAGE,4.0,VENTURE,A,4000,7.4,0.05,N,2,0
21877,28,60000,MORTGAGE,3.0,PERSONAL,B,12000,10.99,0.2,N,5,0
50132,28,125000,MORTGAGE,7.0,HOMEIMPROVEMENT,D,8500,14.59,0.07,N,10,0
2980,28,37500,RENT,0.0,DEBTCONSOLIDATION,D,8400,16.89,0.23,Y,6,1
30927,30,70000,MORTGAGE,14.0,EDUCATION,E,6000,18.39,0.09,N,7,0
9483,35,88296,MORTGAGE,8.0,HOMEIMPROVEMENT,B,15000,9.88,0.17,N,5,0
37883,29,78000,RENT,3.0,EDUCATION,A,6000,9.63,0.08,N,7,0
27330,27,34000,RENT,0.0,MEDICAL,B,1200,9.91,0.04,N,7,0
18743,24,48000,MORTGAGE,4.0,EDUCATION,A,6000,6.62,0.13,N,2,0
4693,36,72000,RENT,4.0,HOMEIMPROVEMENT,C,20000,13.92,0.28,N,14,0
11984,31,70000,RENT,5.0,VENTURE,B,10000,9.91,0.14,N,10,0
43949,31,54000,RENT,3.0,VENTURE,D,27575,16.07,0.49,Y,6,1
2538,24,70000,MORTGAGE,4.0,VENTURE,A,7000,8.0,0.1,N,3,0
22372,31,48000,RENT,1.0,MEDICAL,D,14125,14.74,0.29,N,6,1
22022,46,28176,RENT,0.0,EDUCATION,C,6000,13.61,0.21,N,17,0
50882,21,75000,MORTGAGE,5.0,VENTURE,A,7000,8.9,0.09,N,3,0
33868,28,42000,RENT,3.0,VENTURE,B,12325,12.21,0.29,N,5,0
43756,24,124080,MORTGAGE,2.0,VENTURE,B,25000,12.18,0.21,N,4,0
15282,31,46654,MORTGAGE,8.0,EDUCATION,A,17000,11.83,0.36,N,10,0
20824,31,50000,RENT,4.0,DEBTCONSOLIDATION,B,3000,11.71,0.06,N,10,0
49612,30,54000,RENT,2.0,EDUCATION,D,17500,14.09,0.32,N,10,1
55414,35,110000,RENT,0.0,DEBTCONSOLIDATION,B,12000,10.74,0.11,N,6,0
42153,36,31000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,6000,8.9,0.19,N,17,0
29909,27,90000,MORTGAGE,1.0,HOMEIMPROVEMENT,B,24000,11.36,0.27,N,7,0
12464,26,72000,MORTGAGE,10.0,MEDICAL,D,13750,15.95,0.18,Y,2,1
12463,29,45000,RENT,1.0,PERSONAL,A,14550,7.88,0.32,N,7,1
1273,25,65004,RENT,9.0,DEBTCONSOLIDATION,D,5000,15.58,0.08,N,4,1
15358,23,54000,RENT,7.0,PERSONAL,B,4000,11.71,0.07,N,4,0
15963,40,66000,RENT,2.0,VENTURE,D,20000,15.58,0.31,Y,14,1
19393,23,80000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,13000,7.51,0.16,N,3,0
49789,29,150000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,5000,9.63,0.03,N,9,0
10827,28,66480,RENT,12.0,MEDICAL,A,4000,7.74,0.06,N,8,0
22475,24,49000,RENT,3.0,DEBTCONSOLIDATION,D,12000,16.49,0.24,Y,3,1
20598,30,39000,RENT,13.0,HOMEIMPROVEMENT,C,5500,13.99,0.14,N,10,1
38589,25,44000,RENT,2.0,VENTURE,C,13000,15.27,0.3,Y,3,0
23244,32,50000,RENT,0.0,MEDICAL,A,3000,6.03,0.06,N,7,0
45986,22,53000,MORTGAGE,6.0,MEDICAL,A,6000,5.42,0.11,N,2,0
20296,28,80000,OWN,13.0,VENTURE,A,10000,7.88,0.13,N,10,0
45919,44,65000,MORTGAGE,4.0,VENTURE,C,10000,13.47,0.15,N,15,0
36320,35,50000,RENT,2.0,DEBTCONSOLIDATION,A,18000,6.54,0.37,N,6,1
49434,22,27600,RENT,0.0,EDUCATION,C,7500,12.73,0.28,Y,4,1
22354,35,90000,MORTGAGE,8.0,VENTURE,A,7000,6.62,0.08,N,7,0
37119,22,35000,OWN,1.0,VENTURE,A,10400,9.63,0.3,N,3,0
14328,30,45000,RENT,2.0,PERSONAL,B,3600,11.48,0.08,N,9,0
16749,26,62400,MORTGAGE,8.0,HOMEIMPROVEMENT,A,8000,6.62,0.13,N,2,0
15737,21,31200,RENT,5.0,MEDICAL,B,9000,11.86,0.29,N,4,0
44729,23,80000,RENT,0.0,VENTURE,A,10000,5.79,0.13,N,3,0
45811,32,18000,RENT,4.0,VENTURE,B,1800,11.49,0.1,N,10,0
25802,33,66000,RENT,9.0,EDUCATION,D,25000,15.33,0.38,Y,10,1
44952,27,40000,RENT,1.0,DEBTCONSOLIDATION,B,15000,10.65,0.38,N,5,1
3772,23,80000,RENT,6.0,VENTURE,A,10000,7.29,0.13,N,2,0
2878,31,75000,MORTGAGE,1.0,PERSONAL,D,15000,14.74,0.2,Y,9,0
48632,25,200000,MORTGAGE,3.0,MEDICAL,B,10000,9.99,0.05,N,3,0
34231,22,60000,RENT,4.0,VENTURE,C,6000,13.49,0.1,Y,3,0
16233,28,58650,MORTGAGE,5.0,MEDICAL,D,5000,14.11,0.07,Y,7,1
58579,27,55000,RENT,2.0,MEDICAL,A,6000,8.9,0.11,N,10,0
4733,28,40000,RENT,4.0,MEDICAL,B,12000,12.69,0.3,N,10,0
23349,24,72000,RENT,1.0,EDUCATION,C,8000,12.99,0.11,N,4,0
15340,33,52000,MORTGAGE,16.0,HOMEIMPROVEMENT,A,5600,7.51,0.11,N,7,0
57861,29,48000,RENT,0.0,MEDICAL,A,2400,7.29,0.05,N,7,0
39195,39,79900,MORTGAGE,0.0,DEBTCONSOLIDATION,D,24000,16.77,0.28,N,11,1
39165,32,67300,MORTGAGE,3.0,VENTURE,A,12800,7.51,0.18,N,7,0
46453,23,40800,OWN,2.0,EDUCATION,B,2000,10.0,0.05,N,2,0
1850,29,56000,MORTGAGE,10.0,PERSONAL,A,8000,8.94,0.14,N,5,0
27295,21,50000,RENT,5.0,PERSONAL,B,5000,10.37,0.1,N,4,0
10581,33,92500,RENT,2.0,MEDICAL,A,12000,6.03,0.12,N,9,0
28760,22,52000,RENT,6.0,PERSONAL,A,10000,7.29,0.19,N,4,0
50299,31,34000,RENT,3.0,DEBTCONSOLIDATION,C,5000,13.85,0.15,N,6,0
39578,24,60000,RENT,0.0,EDUCATION,B,5000,10.37,0.08,N,2,0
28411,25,45000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,4800,7.14,0.11,N,3,0
2693,31,28800,OWN,0.0,VENTURE,C,6000,15.96,0.21,Y,8,0
1994,25,37000,MORTGAGE,0.0,PERSONAL,B,5000,11.86,0.13,N,2,0
25271,27,60000,RENT,1.0,DEBTCONSOLIDATION,B,10000,10.25,0.17,N,7,0
17820,25,90000,MORTGAGE,4.0,MEDICAL,D,5000,15.99,0.06,Y,4,1
23076,23,85000,MORTGAGE,1.0,MEDICAL,A,10000,7.51,0.12,N,2,0
28897,45,105000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,10000,7.49,0.1,N,14,0
35822,21,14400,RENT,0.0,MEDICAL,C,2100,13.35,0.15,Y,2,0
54705,34,40000,RENT,2.0,MEDICAL,A,4500,5.42,0.11,N,10,0
17197,26,108000,MORTGAGE,4.0,PERSONAL,B,15000,12.21,0.14,N,4,0
30463,25,67000,RENT,9.0,MEDICAL,A,3000,7.51,0.04,N,3,0
52819,25,65000,RENT,4.0,HOMEIMPROVEMENT,A,7000,7.49,0.11,N,4,0
12547,30,112000,RENT,9.0,EDUCATION,D,9000,15.62,0.08,N,8,0
42141,26,83000,RENT,0.0,DEBTCONSOLIDATION,B,12000,11.71,0.14,N,4,0
56817,23,60000,RENT,5.0,EDUCATION,B,10000,12.21,0.17,N,4,0
46232,26,90000,MORTGAGE,0.0,VENTURE,B,4200,10.59,0.05,N,17,0
29321,25,66000,RENT,0.0,EDUCATION,B,6000,9.91,0.09,N,4,0
58132,21,42000,RENT,5.0,MEDICAL,B,7600,9.91,0.19,N,3,0
56780,32,110000,RENT,7.0,HOMEIMPROVEMENT,B,15000,12.69,0.14,N,5,0
53959,32,110000,MORTGAGE,1.0,VENTURE,B,10000,10.99,0.09,N,8,0
52777,22,24996,RENT,4.0,DEBTCONSOLIDATION,C,7500,12.98,0.3,N,3,0
8226,23,42000,RENT,4.0,PERSONAL,A,4000,8.9,0.1,N,2,0
10749,27,62000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,12000,7.29,0.19,N,5,0
8796,25,35000,RENT,0.0,DEBTCONSOLIDATION,A,4800,6.76,0.14,N,2,0
38206,36,70000,OWN,2.0,MEDICAL,C,15000,13.92,0.21,N,14,0
16798,27,50000,RENT,1.0,PERSONAL,B,7500,12.69,0.15,N,8,0
45710,25,74360,MORTGAGE,1.0,EDUCATION,A,7500,7.05,0.1,N,4,0
32249,24,59000,MORTGAGE,7.0,VENTURE,C,6000,13.99,0.1,Y,3,1
12138,37,25000,RENT,0.0,HOMEIMPROVEMENT,C,3000,13.11,0.12,N,11,1
40043,22,50000,MORTGAGE,5.0,PERSONAL,B,10000,11.99,0.2,N,2,0
43585,22,70000,MORTGAGE,1.0,EDUCATION,C,8000,13.22,0.11,N,4,0
17733,24,45000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,5500,7.51,0.12,N,4,0
40630,25,40000,RENT,6.0,VENTURE,B,3000,10.74,0.07,N,2,0
50640,24,50000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,7000,7.68,0.14,N,3,0
27634,23,60000,RENT,1.0,PERSONAL,B,8000,11.71,0.13,N,2,0
2745,30,70000,MORTGAGE,2.0,EDUCATION,C,15000,13.61,0.21,N,9,0
26627,24,32000,MORTGAGE,3.0,MEDICAL,E,5000,16.82,0.16,Y,2,1
24300,22,45000,RENT,7.0,EDUCATION,B,5000,10.65,0.11,N,3,0
24445,31,85000,MORTGAGE,5.0,PERSONAL,B,4500,10.99,0.05,N,8,0
22581,26,84000,MORTGAGE,2.0,MEDICAL,B,12000,10.99,0.14,N,3,0
15423,24,72250,MORTGAGE,4.0,MEDICAL,B,13000,11.26,0.16,N,3,0
16661,24,36000,RENT,1.0,MEDICAL,C,5000,13.98,0.14,Y,4,0
30770,22,50000,RENT,6.0,EDUCATION,B,7500,11.71,0.15,N,2,0
32849,36,120000,RENT,0.0,DEBTCONSOLIDATION,A,11000,5.42,0.09,N,14,0
55738,26,52524,RENT,9.0,MEDICAL,B,9300,11.83,0.18,N,2,0
4814,25,41000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,4000,18.64,0.1,Y,3,0
6101,56,70000,MORTGAGE,4.0,PERSONAL,A,10000,9.63,0.14,N,19,0
57238,29,70000,RENT,6.0,MEDICAL,C,18000,13.16,0.26,N,5,0
25429,48,98000,MORTGAGE,7.0,VENTURE,B,25000,9.91,0.25,N,12,0
28797,30,55000,RENT,1.0,MEDICAL,D,8000,15.99,0.15,Y,7,1
43088,35,115000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,10000,7.51,0.09,N,8,0
26657,21,40000,RENT,5.0,VENTURE,C,10000,13.49,0.25,Y,2,0
19879,22,53000,MORTGAGE,3.0,MEDICAL,A,15600,7.9,0.29,N,4,0
1292,31,42000,MORTGAGE,3.0,EDUCATION,A,5000,8.9,0.12,N,6,0
45718,28,115000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,12000,11.58,0.1,N,6,0
17708,31,125000,MORTGAGE,14.0,VENTURE,C,21000,13.72,0.17,N,8,0
19498,24,96000,MORTGAGE,8.0,MEDICAL,A,35000,5.99,0.36,N,4,0
27162,25,54000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,5000,5.42,0.09,N,2,0
48475,23,92000,MORTGAGE,1.0,VENTURE,C,16000,14.17,0.17,Y,4,0
253,29,107500,MORTGAGE,11.0,MEDICAL,A,10000,7.9,0.09,N,7,0
12428,35,165000,RENT,4.0,DEBTCONSOLIDATION,B,10000,10.99,0.06,N,6,0
46195,36,40000,MORTGAGE,5.0,EDUCATION,B,6000,10.75,0.15,N,13,0
34973,30,70000,RENT,5.0,EDUCATION,B,10000,11.26,0.14,N,9,0
26259,21,36000,RENT,2.0,PERSONAL,B,15000,10.25,0.42,N,4,1
57617,21,40000,RENT,3.0,MEDICAL,A,7000,6.03,0.17,N,4,0
6464,22,36000,RENT,2.0,PERSONAL,D,10000,16.07,0.28,N,3,1
57790,35,84000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,15000,6.03,0.18,N,10,0
31202,36,40000,MORTGAGE,5.0,PERSONAL,A,4000,6.62,0.1,N,12,0
7452,22,78000,RENT,6.0,EDUCATION,A,6000,7.68,0.08,N,3,0
54045,22,40000,MORTGAGE,6.0,PERSONAL,B,2500,10.75,0.06,N,3,0
49109,25,120000,MORTGAGE,9.0,EDUCATION,C,25000,14.65,0.21,Y,4,0
43440,30,160000,MORTGAGE,14.0,PERSONAL,B,24000,10.75,0.14,N,9,0
55742,29,32000,RENT,6.0,MEDICAL,C,4500,14.72,0.14,N,8,0
51290,31,83004,MORTGAGE,3.0,MEDICAL,B,21600,12.53,0.26,N,6,0
49578,37,28000,RENT,4.0,DEBTCONSOLIDATION,B,7225,9.99,0.27,N,14,1
16305,29,120000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,15000,6.17,0.13,N,9,0
35670,23,90000,RENT,7.0,DEBTCONSOLIDATION,B,10000,10.65,0.11,N,2,0
6027,35,66000,RENT,0.0,PERSONAL,B,2000,12.53,0.03,N,10,0
46686,49,150000,MORTGAGE,3.0,PERSONAL,B,8000,11.83,0.05,N,16,0
27686,25,55000,MORTGAGE,9.0,PERSONAL,B,15000,12.21,0.27,N,2,0
56287,24,65000,RENT,2.0,HOMEIMPROVEMENT,B,3000,10.65,0.05,N,2,0
25107,26,30000,RENT,4.0,MEDICAL,A,5000,8.9,0.17,N,2,0
35820,27,65004,RENT,1.0,DEBTCONSOLIDATION,B,20000,10.37,0.31,N,7,0
46328,33,31000,RENT,3.0,VENTURE,D,5000,15.33,0.16,Y,8,0
44239,29,180000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,15000,7.88,0.08,N,9,0
36038,28,75000,RENT,7.0,MEDICAL,B,3000,12.69,0.04,N,9,0
11789,22,72000,RENT,6.0,EDUCATION,C,5000,15.96,0.07,Y,2,0
48273,33,50004,RENT,8.0,EDUCATION,D,4000,15.05,0.08,N,6,0
41879,41,50000,RENT,5.0,HOMEIMPROVEMENT,A,8000,6.62,0.16,N,11,0
45609,34,149400,RENT,10.0,VENTURE,A,8000,6.62,0.06,N,5,0
47045,25,50000,MORTGAGE,9.0,PERSONAL,B,5000,10.99,0.1,N,3,0
53738,29,110000,MORTGAGE,13.0,VENTURE,A,12000,6.99,0.11,N,9,0
35139,21,30000,RENT,3.0,PERSONAL,B,3000,12.18,0.1,N,2,0
7703,22,48000,RENT,0.0,PERSONAL,C,11200,12.68,0.22,N,2,0
54083,23,120000,MORTGAGE,3.0,MEDICAL,B,10000,9.91,0.08,N,2,0
54189,23,67000,RENT,0.0,MEDICAL,A,3000,7.9,0.04,N,2,0
40861,31,75000,RENT,6.0,HOMEIMPROVEMENT,C,15000,13.61,0.19,N,7,0
14363,24,54000,RENT,2.0,EDUCATION,A,4000,9.32,0.07,N,4,0
30251,25,84000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,12000,8.32,0.14,N,4,0
15951,25,24000,RENT,0.0,PERSONAL,C,8000,13.85,0.33,N,2,1
51622,29,54000,MORTGAGE,13.0,PERSONAL,C,12000,13.8,0.22,N,9,0
2543,23,36000,RENT,2.0,EDUCATION,A,8400,7.51,0.23,N,2,0
43755,23,140000,MORTGAGE,7.0,PERSONAL,C,11000,14.79,0.08,N,2,0
855,27,60000,MORTGAGE,11.0,PERSONAL,A,3500,7.68,0.06,N,9,0
33184,24,40000,RENT,5.0,VENTURE,B,10000,10.36,0.25,N,2,0
20558,29,66300,MORTGAGE,6.0,MEDICAL,B,9600,11.71,0.13,N,10,1
13610,22,24000,RENT,3.0,PERSONAL,C,3000,12.53,0.13,Y,3,0
14459,48,100000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,25000,11.36,0.25,N,15,0
41770,24,98000,MORTGAGE,7.0,VENTURE,C,12000,13.57,0.12,N,2,1
33219,22,42000,MORTGAGE,4.0,VENTURE,C,17600,13.49,0.4,N,2,0
29313,23,55000,MORTGAGE,7.0,EDUCATION,C,11000,13.11,0.2,Y,2,0
47548,23,28800,RENT,7.0,EDUCATION,A,9000,8.9,0.31,N,4,1
33603,23,90000,MORTGAGE,6.0,EDUCATION,A,16000,6.03,0.18,N,4,0
10763,25,44000,RENT,9.0,HOMEIMPROVEMENT,B,5000,10.59,0.11,N,4,1
53045,26,120000,RENT,2.0,HOMEIMPROVEMENT,C,7000,13.06,0.06,N,2,0
43434,24,45000,MORTGAGE,8.0,EDUCATION,B,7500,12.53,0.17,N,4,0
3465,23,55000,MORTGAGE,7.0,PERSONAL,A,15000,6.03,0.27,N,2,0
39881,36,80000,RENT,0.0,EDUCATION,C,12000,12.68,0.15,N,15,0
43543,30,57000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,8000,10.99,0.14,N,8,0
40589,25,75000,RENT,0.0,PERSONAL,A,8000,9.07,0.11,N,3,0
9960,24,36000,RENT,0.0,DEBTCONSOLIDATION,B,4000,11.11,0.11,N,2,0
43225,27,43000,RENT,5.0,EDUCATION,D,6000,15.21,0.14,Y,9,0
30513,23,35000,RENT,7.0,DEBTCONSOLIDATION,A,10000,7.51,0.29,N,4,0
9740,23,43000,RENT,7.0,MEDICAL,A,7000,7.51,0.16,N,2,0
45837,22,45900,RENT,0.0,PERSONAL,C,12000,13.79,0.26,N,3,0
15394,34,31200,MORTGAGE,5.0,HOMEIMPROVEMENT,B,10400,11.49,0.32,N,7,0
9662,23,51000,RENT,3.0,DEBTCONSOLIDATION,F,20000,18.25,0.41,Y,2,1
